,tag,t,z,mass,width
996,1.00,509.00,288.12,440936.00,3108.30
998,1.00,510.00,284.55,565149.00,4173.69
1000,1.00,511.00,280.51,695852.00,5043.42
1002,1.00,512.00,279.19,955502.00,6192.39
1004,1.00,513.00,278.14,825429.00,5865.75
1006,1.00,514.00,278.21,453741.00,3125.77
1008,1.00,515.00,277.28,541410.00,3981.99
1010,1.00,516.00,273.97,830258.00,5856.68
1012,1.00,517.00,272.36,1120768.00,7163.29
1014,1.00,518.00,271.49,925136.00,6630.81
1016,1.00,519.00,268.98,864527.00,6100.33
1018,1.00,520.00,267.50,711622.00,5560.93
1020,1.00,521.00,265.15,535695.00,3791.10
1022,1.00,522.00,263.53,557539.00,4207.08
1024,1.00,523.00,263.01,524524.00,3776.33
1026,1.00,524.00,260.07,510359.00,3711.62
1028,1.00,525.00,257.57,517525.00,4264.24
1030,1.00,526.00,256.25,459936.00,3151.10
1032,1.00,527.00,254.41,753388.00,5560.78
1034,1.00,528.00,253.05,628326.00,5194.64
1036,1.00,529.00,251.68,454729.00,3364.99
1038,1.00,530.00,249.31,661863.00,4934.07
1040,1.00,531.00,247.44,954969.00,6557.65
1042,1.00,532.00,246.42,676126.00,5538.18
1044,1.00,533.00,243.61,735845.00,5411.01
1046,1.00,534.00,242.07,905207.00,6158.74
1048,1.00,535.00,240.81,989475.00,6290.16
1050,1.00,536.00,240.12,1127900.00,6957.54
1052,1.00,537.00,238.67,792791.00,5685.11
1054,1.00,538.00,238.07,513388.00,3826.17
1056,1.00,539.00,236.70,472057.00,3399.41
1058,1.00,540.00,235.78,527660.00,3558.43
1060,1.00,541.00,235.09,752167.00,5687.88
1062,1.00,542.00,232.86,838574.00,6095.93
1064,1.00,543.00,232.54,653353.00,4879.57
1066,1.00,544.00,232.02,767292.00,5303.58
1068,1.00,545.00,230.21,877307.00,5915.72
1070,1.00,546.00,227.31,780735.00,5322.57
1072,1.00,547.00,226.28,969659.00,6069.59
1074,1.00,548.00,224.62,953791.00,6281.90
1076,1.00,549.00,223.85,593704.00,4469.84
1078,1.00,550.00,220.42,545664.00,3993.22
1080,1.00,551.00,220.62,466667.00,3398.18
1082,1.00,552.00,218.53,558117.00,4200.31
1084,1.00,553.00,216.27,723099.00,5180.05
1086,1.00,554.00,215.29,530332.00,3822.66
1088,1.00,555.00,214.08,518478.00,3766.41
1090,1.00,556.00,212.96,525204.00,3796.71
1092,1.00,557.00,209.80,592217.00,4374.91
1094,1.00,558.00,209.24,569708.00,4493.73
1096,1.00,559.00,208.25,629141.00,4908.46
1098,1.00,560.00,208.83,424901.00,3231.39
1100,1.00,561.00,207.84,514653.00,4145.43
1102,1.00,562.00,207.32,537365.00,4530.24
1104,1.00,563.00,208.49,471916.00,3583.58
1106,1.00,564.00,206.46,532251.00,3898.64
1108,1.00,565.00,205.99,586597.00,4250.38
1110,1.00,566.00,206.57,697717.00,4910.85
1112,1.00,567.00,206.17,513462.00,3667.95
1114,1.00,568.00,205.14,453814.00,3174.04
1116,1.00,569.00,203.40,470489.00,3454.73
1118,1.00,570.00,202.12,439843.00,3127.36
1120,1.00,571.00,202.05,462469.00,3352.63
1122,1.00,572.00,200.89,530365.00,4217.12
1124,1.00,573.00,201.26,620528.00,4501.79
1126,1.00,574.00,200.97,801199.00,5852.58
1128,1.00,575.00,200.79,736859.00,5049.07
